client_id,gendr,clnt_age,logons_6_mnth,clnt_tenure_yr,clnt_tenure_mnth,num_accts,bal,calls_6_mnth
555,U,29.5,6,3,46,2,25454.66,2
647,M,57.5,4,12,151,2,30525.8,0
934,F,51.0,3,9,109,2,32522.88,0
1028,M,36.0,4,12,145,3,103520.22,1
1104,U,48.0,9,5,66,3,154643.94,6
1186,U,22.0,3,8,99,2,31662.52,0
1195,M,54.5,5,21,262,2,28457.96,2
1197,U,28.5,8,7,85,5,177062.14,5
1336,M,42.0,9,48,576,4,130537.18,6
1346,F,46.0,6,14,177,2,822512.91,3
1368,F,45.0,9,5,60,3,61956.25,6
1516,F,58.5,8,12,150,2,25408.39,5
1643,M,55.0,3,19,229,2,81731.39,0
1702,U,62.5,8,21,260,3,1769255.99,5
1755,M,46.5,3,9,110,2,179775.21999999997,0
1836,M,51.5,7,13,157,2,826232.62,4
1936,M,26.5,9,5,63,2,52447.9,6
2439,M,56.0,3,11,142,2,504142.55,0
2581,M,22.0,4,4,58,2,24976.79,1
2720,M,25.0,9,9,117,3,81536.0,6
3232,F,52.0,6,9,116,2,45617.96,3
3572,M,54.5,3,15,189,2,84673.58,0
3647,F,63.0,7,15,190,2,154244.15,4
3743,U,30.0,6,6,75,3,48262.21,3
4369,F,70.5,3,14,172,2,191263.96,0
4484,M,48.5,5,16,199,2,51499.77,2
4603,F,38.5,9,12,154,2,48726.26,6
4717,U,58.0,9,7,86,2,1739571.5499999998,6
4870,M,26.5,9,21,253,3,89408.8,6
5354,U,50.5,5,4,58,2,62282.38,2
5845,F,76.0,5,23,280,2,213906.62,2
6022,U,30.0,9,7,92,2,36485.55,6
6150,F,67.0,6,27,329,2,199928.94,2
6642,M,35.5,3,12,149,2,34987.23,0
6904,M,64.5,9,12,155,2,348285.51,6
6977,U,53.0,3,4,57,2,26011.36,0
6985,U,61.5,9,7,89,3,84975.6,6
7020,F,41.5,5,16,195,2,63648.09,2
7561,M,33.0,9,11,141,2,35070.619999999995,6
7563,M,29.5,9,8,106,3,186719.52,6
7567,F,33.0,5,21,252,2,27165.99,1
7657,M,41.5,5,18,218,2,55643.37,2
7723,M,54.5,8,30,364,4,571316.8,5
